step,Energy,Magnet,acc,J
27900001,-1.19932,-0.99962,0.00029,1.19985
28000001,-1.19961,-0.99974,0.0003,1.1999
28100001,-1.1994,-0.9997,0.00024,1.19988
28200001,-1.19924,-0.99966,0.0003,1.19986
28300001,-1.19911,-0.99958,0.0003,1.19983
28400001,-1.19902,-0.99958,0.0004,1.19983
28500001,-1.19873,-0.99946,0.00038,1.19978
28600001,-1.19906,-0.99958,0.00046,1.19983
28700001,-1.19942,-0.99976,0.00031,1.1999
28800001,-1.1994,-0.9997,0.00033,1.19988
28900001,-1.19939,-0.99968,0.00019,1.19987
29000001,-1.19966,-0.99988,0.00028,1.19995
29100001,-1.1995,-0.99982,0.00015,1.19993
29200001,-1.19953,-0.99978,0.00026,1.19991
29300001,-1.19931,-0.99972,0.00023,1.19989
29400001,-1.19943,-0.99978,0.00025,1.19991
29500001,-1.19935,-0.9997,0.0003,1.19988
29600001,-1.19926,-0.9997,0.00026,1.19988
29700001,-1.19905,-0.99954,0.00034,1.19982
29800001,-1.19901,-0.99956,0.00043,1.19982
29900001,-1.19896,-0.99956,0.00032,1.19982
30000001,-1.1989,-0.99952,0.00044,1.19981
30100001,-1.19894,-0.99952,0.00038,1.19981
30200001,-1.19878,-0.99946,0.00053,1.19978
30300001,-1.19859,-0.99936,0.00043,1.19974
30400001,-1.19895,-0.99954,0.00049,1.19982
30500001,-1.19901,-0.99956,0.00045,1.19982
30600001,-1.19923,-0.99964,0.00038,1.19986
30700001,-1.19954,-0.99982,0.00023,1.19993
30800001,-1.19943,-0.99978,0.00026,1.19991
30900001,-1.19929,-0.99966,0.00028,1.19986
31000001,-1.19918,-0.99962,0.00028,1.19985
31100001,-1.19876,-0.99942,0.00048,1.19977
31200001,-1.19899,-0.9994,0.00037,1.19976
31300001,-1.19931,-0.9996,0.00036,1.19984
31400001,-1.19942,-0.99974,0.00029,1.1999
31500001,-1.19922,-0.9996,0.00023,1.19984
31600001,-1.19909,-0.99952,0.0003,1.19981
31700001,-1.19924,-0.99966,0.00041,1.19986
31800001,-1.19941,-0.99972,0.00033,1.19989
31900001,-1.19937,-0.99974,0.00027,1.1999
32000001,-1.19931,-0.99972,0.00033,1.19989
32100001,-1.19932,-0.99974,0.00027,1.1999
32200001,-1.19926,-0.99972,0.00027,1.19989
32300001,-1.19919,-0.99966,0.00031,1.19986
32400001,-1.1993,-0.99968,0.00035,1.19987
32500001,-1.19942,-0.99976,0.0003,1.1999
32600001,-1.19936,-0.99972,0.00028,1.19989
32700001,-1.19929,-0.99966,0.00031,1.19986
32800001,-1.19975,-0.99986,0.0003,1.19994
32900001,-1.19953,-0.99978,0.00012,1.19991
33000001,-1.19927,-0.99962,0.00034,1.19985
33100001,-1.19912,-0.9996,0.00025,1.19984
33200001,-1.19887,-0.99934,0.00043,1.19974
33300001,-1.19874,-0.99938,0.00052,1.19975
33400001,-1.19902,-0.99958,0.00036,1.19983
33500001,-1.19918,-0.99964,0.00023,1.19986
33600001,-1.19914,-0.99954,0.00037,1.19982
33700001,-1.19912,-0.9996,0.00041,1.19984
33800001,-1.19902,-0.99958,0.00045,1.19983
33900001,-1.19919,-0.99966,0.00042,1.19986
34000001,-1.1992,-0.99968,0.00035,1.19987
34100001,-1.19905,-0.99954,0.00049,1.19982
34200001,-1.19863,-0.99934,0.00042,1.19974
34300001,-1.19909,-0.99952,0.00041,1.19981
34400001,-1.19878,-0.99946,0.00045,1.19978
34500001,-1.19879,-0.9995,0.00054,1.1998
34600001,-1.19902,-0.99946,0.0005,1.19978
34700001,-1.19917,-0.9996,0.00039,1.19984
34800001,-1.19914,-0.99964,0.00036,1.19986
34900001,-1.19926,-0.9997,0.00045,1.19988
35000001,-1.19902,-0.9996,0.00033,1.19984
35100001,-1.19882,-0.99946,0.00045,1.19978
35200001,-1.19899,-0.99952,0.00049,1.19981
35300001,-1.19887,-0.99946,0.00045,1.19978
35400001,-1.19878,-0.99948,0.00043,1.19979
35500001,-1.1989,-0.99954,0.00047,1.19982
35600001,-1.19919,-0.99954,0.00042,1.19982
35700001,-1.19918,-0.9995,0.0004,1.1998
35800001,-1.19934,-0.99966,0.00032,1.19986
35900001,-1.19946,-0.99972,0.00023,1.19989
36000001,-1.19943,-0.99978,0.00023,1.19991
36100001,-1.19934,-0.99968,0.00033,1.19987
36200001,-1.19926,-0.9996,0.00036,1.19984
36300001,-1.19918,-0.99962,0.00037,1.19985
36400001,-1.19922,-0.99962,0.00022,1.19985
36500001,-1.19916,-0.99958,0.00048,1.19983
36600001,-1.19926,-0.9996,0.00037,1.19984
36700001,-1.19883,-0.99948,0.0004,1.19979
36800001,-1.19927,-0.99962,0.00039,1.19985
36900001,-1.19903,-0.9995,0.00034,1.1998
37000001,-1.19909,-0.99952,0.00037,1.19981
37100001,-1.19924,-0.99966,0.00045,1.19986
37200001,-1.19899,-0.99952,0.00035,1.19981
37300001,-1.19877,-0.99944,0.00046,1.19978
37400001,-1.1987,-0.99938,0.00053,1.19975
37500001,-1.19874,-0.99936,0.00051,1.19974
37600001,-1.19886,-0.99944,0.00048,1.19978
37700001,-1.19906,-0.99958,0.00051,1.19983
37800001,-1.19906,-0.99958,0.0004,1.19983
37900001,-1.19919,-0.99966,0.00036,1.19986
38000001,-1.19922,-0.9996,0.00033,1.19984
38100001,-1.1991,-0.99956,0.00034,1.19982
38200001,-1.1987,-0.9994,0.0004,1.19976
38300001,-1.19894,-0.99952,0.00042,1.19981
38400001,-1.19902,-0.9996,0.0003,1.19984
38500001,-1.19894,-0.99952,0.00042,1.19981
38600001,-1.19902,-0.9996,0.0004,1.19984
38700001,-1.19893,-0.99948,0.00046,1.19979
38800001,-1.19889,-0.9995,0.00041,1.1998
38900001,-1.1993,-0.9997,0.00038,1.19988
39000001,-1.19926,-0.9997,0.00018,1.19988
39100001,-1.19936,-0.99972,0.00029,1.19989
39200001,-1.19924,-0.99954,0.00029,1.19982
39300001,-1.19897,-0.99946,0.0004,1.19978
39400001,-1.19938,-0.99964,0.00033,1.19986
39500001,-1.19905,-0.99954,0.00019,1.19982
39600001,-1.19927,-0.99962,0.00034,1.19985
39700001,-1.19907,-0.9996,0.00039,1.19984
39800001,-1.199,-0.99954,0.00051,1.19982
39900001,-1.19887,-0.99934,0.00054,1.19974
40000001,-1.19899,-0.9994,0.00033,1.19976
40100001,-1.19895,-0.99942,0.00043,1.19977
40200001,-1.19895,-0.99942,0.00044,1.19977
40300001,-1.19909,-0.99952,0.00051,1.19981
40400001,-1.19943,-0.99978,0.00041,1.19991
40500001,-1.19948,-0.99966,0.00022,1.19986
40600001,-1.19908,-0.9995,0.00038,1.1998
40700001,-1.19912,-0.9996,0.00033,1.19984
40800001,-1.19876,-0.99942,0.00031,1.19977
40900001,-1.19922,-0.9996,0.00035,1.19984
41000001,-1.19926,-0.9997,0.00025,1.19988
41100001,-1.19936,-0.99972,0.00035,1.19989
41200001,-1.19914,-0.99964,0.00026,1.19986
41300001,-1.19919,-0.99966,0.00033,1.19986
41400001,-1.19904,-0.99952,0.00035,1.19981
41500001,-1.19882,-0.99946,0.00045,1.19978
41600001,-1.19906,-0.99956,0.00039,1.19982
41700001,-1.199,-0.99954,0.00037,1.19982
41800001,-1.19891,-0.99944,0.00039,1.19978
41900001,-1.19858,-0.99922,0.00055,1.19969
